ID,"input word",pronounce,part-of-speech,translation,synonyms,alt-synonyms
28328,"be apt to",,,"legyenek alkalmasak",,
28329,"be as good as",,,"legyen olyan jó, mint",,
28330,"be ascribed to",,,tulajdonítható,,
28331,"be ashamed",,verb,szégyell,,
28332,"be asleep",,,alszik,,
28333,"be assiduous",,,"legyenek óvatosak",,
28334,"be assimilated into",,,beilleszkedni,,
28335,"be astonished",,,megdöbbent,,
28336,"be at",,verb,üt,beat|bat|strike|slog|knock|bang|beat|strike|mint|pulsate|beat|throb|palpitate|pound|pitter-patter|smash|shatter|knap|dash|beat,ver|dobog|összetör
28337,"be at beck and call",,,"legyen beck és hívjon",,
28338,"be at ease",,,"legyen nyugodt",,
28339,"be at fault",,,hibás,,
28340,"be at hand",,,"legyen kéznél",,
28341,"be at home",,,"otthon lenni",,
28342,"be at variance",,,"ellentétben kell lennie",,
28343,"be attached",,,"csatolni kell",,
28344,"be attached to",,,"csatolni kell",,
28345,"be attentive",,,"légy figyelmes",,
28346,"be attorney for",,,ügyvéd,,
28347,"be attracted to",,,vonzzák,,
28348,"be averse to",,,legyőzze,,
28349,"be aware",,,"tudatában kell lennie",,
28350,"be aware of",,,"tudatában kell lennie",,
28351,"be awed",,,"legyen félelmetes",,
28352,"be axiomatic",,,"legyen axiomatikus",,
28353,"be bad",,,"légy rossz",,
28354,"be based on",,,"arra alapozva",,
28355,"be before",,,"legyen korábban",,
28356,"be beholden",,,"legyen legyenek",,
28357,"be bewildered",,,"zavarodjon meg",,
28358,"be biased",,,"legyen elfogult",,
28359,"be big",,,"legyen nagy",,
28360,"be blind to",,,"legyen vak",,
28361,"be born",,,megszületni,,
28362,"be born again",,,újjászületni,,
28363,"be bound",,,kössön,,
28364,"be bounded by",,,korlátozza,,
28365,"be brief",,,"legyen rövid",,
28366,"be brokenhearted",,,tönkremegy,,
28367,"be buried",,,eltemetve,,
28368,"be busy",,,"elfoglaltnak lenni",,
28369,"be capable of",,,"képesnek lenni valamire",,
28370,"be careless",,,"legyen óvatos",,
28371,"be carried",,,szállítva,,
28372,"be caught napping",,,"meg kell fogni",,
28373,"be cautious",,,vigyázz,,
28374,"be certain",,,biztosan,,
28375,"be cheap",,,"olcsó legyen",,
28376,"be cheerful",,,"legyen vidám",,
28377,"be cleaned out",,,"meg kell tisztítani",,
28378,"be close to",,,"közel lenni",,
28379,"be closeted with",,,lezárva,,
28380,"be cognizant",,,"tudatában kell lennie",,
28381,"be cold",,verb,fázik,"be chilled|be chilly","hideg van"
28382,"be comfortable",,,"kényelmes legyen",,
28383,"be coming",,adjective,jöjjön,fit|proper|becoming|seemly|congruous|decorous|graceful|dainty|slim|becoming,illő|kecses
28384,"be commensurable",,,"arányosnak kell lennie",,
28385,"be commensurate",,,"arányosnak kell lennie",,
28386,"be comparable",,,"összehasonlíthatónak kell lennie",,
28387,"be compelled",,,kényszerüljön,,
28388,"be compelled to",,,kényszerüljön,,
28389,"be composed of",,,áll,,
28390,"be condescending to",,,lelépni,,
28391,"be conditioned",,,"kondicionálni kell",,
28392,"be conducive",,,"legyen kedvező",,
28393,"be confident",,,"magabiztosnak lenni",,
28394,"be confused",,,"összezavarodottnak lenni",,
28395,"be congruent with",,,"legyen összhangban",,
28396,"be connected",,,"csatlakoztatva legyen",,
28397,"be connected with",,,"csatlakoztatva kell lennie",,
28398,"be conscious of",,verb,"légy tudatában annak, hogy",,"tudatában van"
28399,"be consistent",,,következetes,,
28400,"be conspicuous",,,feltűnő,,
28401,"be constant",,,"állandó legyen",,
28402,"be contained in",,,"tartalmaznia kell",,
28403,"be contemptuous of",,,"legyen megvető",,
28404,"be content",,,"légy elégedett",,
28405,"be contiguous",,,szomszédos,,
28406,"be contiguous to",,,"legyen szomszédos",,
28407,"be contingent",,,függő,,
28408,"be contingent on",,,függ,,
28409,"be contracted",,,"szerződést kell kötni",,
28410,"be contrary to",,,ellentétes,,
28411,"be contrite",,,legyőzze,,
28412,"be conversant in",,,beszéljen,,
28413,"be converted into",,,átalakítani,,
28414,"be courteous",,,udvarias,,
28415,"be crazy about",,,"megőrülni valamiért",,
28416,"be crazy for",,,"legyen őrült",,
28417,"be crazy over",,,"legyen őrült",,
28418,"be creative",,,"legyen kreatív",,
28419,"be crowded with",,,"legyen zsúfolt",,
28420,"be cured",,,"meggyógyítva lenni",,
28421,"be curious",,,Kíváncsi,,
28422,"be dated",,,keltezve,,
28423,"be deceitful",,,"csalárd legyen",,
28424,"be defeated",,,legyőzni,,
28425,"be deficient",,,hiányos,,
28426,"be dejected",,,"el kell utasítani",,
28427,"be delighted",,verb,"el van ragadtatva",,
28428,"be delirious",,,"legyen kedves",,
28429,"be demoted",,,lerombolják,,
28430,"be dependent",,noun,függ,,"valakitől függ"
28431,"be dependent on",,,függ,,
28432,"be deprived",,,megfosztani,,
28433,"be deprived of",,,megfosztják,,
28434,"be desirous of",,,"legyen kívánatos",,
28435,"be destined",,,"meg kell szánni",,
28436,"be destroyed",,,elpusztítani,,
28437,"be determined by",,,"határozza meg",,
28438,"be devoted",,,szenteljék,,
28439,"be devoted to",,,szenteljen,,
28440,"be diffuse",,,"legyen diffúz",,
28441,"be directed",,,irányítsák,,
28442,"be disclosed",,,"közzé kell tenni",,
28443,"be disguised as",,,álcázni,,
28444,"be disgusted with",,,"legyen undorodva",,
28445,"be dishonest",,,"legyen tisztességtelen",,
28446,"be disloyal",,,"legyen hűtlen",,
28447,"be disloyal to",,,"legyen hűtlen",,
28448,"be disposed",,,"ártalmatlanítani kell",,
28449,"be dissimilar",,,különböznek,,
28450,"be dissolute",,,"hajlamos legyen",,
28451,"be diverse",,,"változatos legyen",,
28452,"be done for",,,"meg kell tenni",,
28453,"be doomed",,,"legyenek ítélve",,
28454,"be down and out",,,"legyen lefelé",,
28455,"be down on",,verb,"legyen le",,"haragszik vkire"
28456,"be dressed in",,,"öltözzenek be",,
28457,"be driven",,,vezetni,,
28458,"be dubious",,,kétséges,,
28459,"be due",,,esedékes,,
28460,"be dying for",,,"haljon meg",,
28461,"be eager",,,"legyen szíves",,
28462,"be early",,,"legyen korán",,
28463,"be eco-friendly",,,"legyen környezetbarát",,
28464,"be economical",,,gazdaságos,,
28465,"be economical with",,,"legyen gazdaságos",,
28466,"be effective",,,hatékony,,
28467,"be elated",,,kiáltott,,
28468,"be encamped",,,"legyenek táborozva",,
28469,"be enchanted by",,,elvarázsolják,,
28470,"be endowed with",,,"legyen felruházva",,
28471,"be engaged with",,,"vegyen részt",,
28472,"be engrossed by",,,behatol,,
28473,"be enough",,,"legyen elég",,
28474,"be entitled to",,,jogosultak,,
28475,"be envious of",,,irigyeljenek,,
28476,"be equal to",,,egyenlő,,
28477,"be equivalent",,,egyenértékű,,
28478,"be erect",,,"legyenek függőlegesen",,
28479,"be evasive",,,"legyen elkerülhető",,
28480,"be evident",,,nyilvánvaló,,
28481,"be expedient",,,célszerű,,
28482,"be exposed to",,,"vannak kitéve",,
28483,"be extant",,,maradjon,,
28484,"be faced with",,,szembenézni,,
28485,"be faithful",,,"légy hűséges",,
28486,"be familiar",,,ismerős,,
